smi,seed_smi,ori_smi,component,diameter,hash_distance,comp2
*NC1=NC=NC2=C1SC1=CC=C(N)C=C12,*Nc1ncnc2c1sc1ccc(N)cc12,Cc1cccc(Nc2ncnc3c2sc2ccc(N)cc23)c1,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;R6_aro1_2;,5.153,779d8df80781a54eb23a0b951f826325,R5;R6;R6;
*CNNc1cc(C)ccc1C,*C(*)NNc1cc(C)ccc1C,Cc1ccc(C)c(NNC(=O)C(=O)NNc2cc(C)ccc2C)c1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*NCC1=CC=C(F)C=C1,*NCc1ccc(F)cc1,O=C([O-])c1ccc(NCc2ccc(F)cc2)c[n+]1[O-],Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*NC1=CC=CC(C(N)=O)=C1O,*Nc1cccc(C(N)=O)c1O,NC(=O)c1cccc(Nc2c(Nc3ccccc3)c(=O)c2=O)c1O,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*CN1C(=O)NC2(CCCCC2)C1=O,*CN1C(=O)NC2(CCCCC2)C1=O,Cc1noc(C)c1CN1C(=O)NC2(CCCCC2)C1=O,Hydrophilic;Hydrophilic;R5_aro0_2;R6_aro0_0;,2.776,4365d258e59a2e5d16d6986c82baa217,R5;R6;
*CNNc1ccc(C)c(Cl)c1,*C(*)NNc1ccc(C)c(Cl)c1,Cc1ccc(NNC(=O)c2ccno2)cc1Cl,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*CNc1cccc(C(N)=O)c1,*C(*)Nc1cccc(C(N)=O)c1,NC(=O)c1cccc(NC(=O)c2cc3cc([N+](=O)[O-])ccc3[nH]2)c1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*CC(O)c1ccc2c(c1)CCO2,*C(*)C(O)c1ccc2c(c1)CCO2,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@H](O)c3ccc4c(c3)CCO4)[C@@H]2SC1,R5_aro0_1;R6_aro1_0;,2.331,ea6c8a9a8c193176fe52a00f08a5e3c8,R5;R6;
*C(=O)C1=CC=C(F)C=C1F,*C(=O)c1ccc(F)cc1F,Nc1c(C(=O)c2ccc(F)cc2F)cc[n+]([O-])c1-c1cccc2c1OCO2,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*C1=NNC(C(=O)N2CCCCCC2)=C1,*c1cc(C(=O)N2CCCCCC2)[nH]n1,COc1ccc(-c2cc(C(=O)N3CCCCCC3)[nH]n2)cc1,Hydrophilic;R5_aro1_2;R78_aro0_1;,5.205,f54634b4aa09707574225661071d9fcc,R5;R78;
*CNc1cc(F)c(F)c(F)c1,*C(*)Nc1cc(F)c(F)c(F)c1,Cn1ccc(NC(=O)C(=O)Nc2cc(F)c(F)c(F)c2)n1,Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,2a94e67e629aabc94303fbb22e70eb12,R6;
*CN(O)CC1Sc2ccccc2NC1=O,*C(*)N(O)CC1Sc2ccccc2NC1=O,CC(=O)N(O)C[C@@H]1Sc2ccccc2NC1=O,Hydrophilic;Hydrophilic;R6_aro0_2;R6_aro1_0;,3.969,78acd489bc612639ed254e15d15bebfe,R6;R6;
*CNc1ccc(C)c(C)c1,*C(*)Nc1ccc(C)c(C)c1,Cc1ccc(NC(=O)C(=O)Cc2cccc[n+]2[O-])cc1C,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CSc1nc(-c2ccccc2)[nH]c1C,*CSc1nc(-c2ccccc2)[nH]c1*,COCCCNC(=O)CSc1nc(-c2ccccc2)[nH]c1-c1ccc(C)cc1,Hydrophilic;R5_aro1_2;R6_aro1_0;,4.276,b3b702190be9be4ea02d53d54ce4e6c2,R5;R6;
*c1[nH]c(-c2ccccc2)nc1SC,*CSc1nc(-c2ccccc2)[nH]c1*,COCCCNC(=O)CSc1nc(-c2ccccc2)[nH]c1-c1ccc(C)cc1,Hydrophilic;R5_aro1_2;R6_aro1_0;,4.276,b3b702190be9be4ea02d53d54ce4e6c2,R5;R6;
*CNc1ccc(F)c(C(C)(F)F)c1,*C(*)Nc1ccc(F)c(C(C)(F)F)c1,Cc1cc(Oc2cc(NC(=O)C3CC3)ncn2)ccc1NC(=O)Nc1ccc(F)c(C(C)(F)F)c1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*CNc1ccccc1OC,*C(*)Nc1ccccc1OC,COc1ccccc1NC(=O)Nc1c[n+]([O-])ccc1OC,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*COC1=CC=CC=C1,*COc1ccccc1,O=[S@](CCOc1ccccc1)c1nc2ccccc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cccc(F)c1Cl,*C(*)Nc1cccc(F)c1Cl,O=C(Nc1ccc(Cl)c(C(=O)N2CCCC2)c1O)Nc1cccc(F)c1Cl,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*COC1=CC(C)=CC=C1C,*COc1cc(C)ccc1C,Cc1ccc(C)c(OCC(=O)NNC(=O)c2ccc(=O)[nH]c2)c1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*COC1=NNC(C2=CC=CC=C2)=C1,*COc1cc(-c2ccccc2)[nH]n1,Nc1ncccc1COc1cc(-c2ccccc2)[nH]n1,Hydrophilic;R5_aro1_2;R6_aro1_0;,4.276,b3b702190be9be4ea02d53d54ce4e6c2,R5;R6;
*S(=O)CC1=CC(F)=CC=C1N,*S(=O)Cc1cc(F)ccc1N,Nc1ccc(F)cc1C[S@](=O)c1nc2ccccc2[nH]1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,a4774e62d3b57a66b907818fc21b3a24,R6;
*NC(=O)C1=CC=C2OCOC2=C1,*NC(=O)c1ccc2c(c1)OCO2,CCOC(=O)c1oc2ccccc2c1NC(=O)c1ccc2c(c1)OCO2,Hydrophilic;Hydrophilic;R5_aro0_2;R6_aro1_0;,6.273,bebd4462afabe66fc969aae1c4e066ce,R5;R6;
*S(=O)CC1=CC(Cl)=CC=C1N,*S(=O)Cc1cc(Cl)ccc1N,Nc1ccc(Cl)cc1C[S@](=O)c1nc2ccccc2[nH]1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*NC(=O)C1CC(C)(C)OC1=O,*NC(=O)C1CC(C)(C)OC1=O,CC1(C)C[C@H](C(=O)Nc2ccccc2)C(=O)O1,Hydrophilic;Hydrophilic;Hydrophilic;R5_aro0_1;,3.758,6d1496f6b4ead9445ad9b7c5594f9654,R5;
*CSC1=NNC(C2=CC=CC=C2F)=N1,*CSc1n[nH]c(-c2ccccc2F)n1,NC(=O)NC(=O)CSc1n[nH]c(-c2ccccc2F)n1,Hydrophilic;Hydrophilic;R5_aro1_3;R6_aro1_0;,4.276,27b5854ba85a59e2af0e3002c41b0c87,R5;R6;
*CNC(O)c1ccc(F)cc1F,*C(*)NC(O)c1ccc(F)cc1F,C[C@@H]1CCO[C@H]2C[n+]3cc(C(=O)N[C@@H](O)c4ccc(F)cc4F)c(O)c([O-])c3C(=O)N12,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*CC([NH3+])c1cccc2sccc12,*C(*)C([NH3+])c1cccc2sccc12,CC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H]([NH3+])c3cccc4sccc34)[C@@H]2SC1,Hydrophilic;R5_aro1_1;R6_aro1_0;,3.889,556e93ebb62636b794dba36934886569,R5;R6;
*NC(=O)C1=CC=C2C=CC=CC2=N1,*NC(=O)c1ccc2ccccc2n1,C[C@H](O)CNc1nccc(-n2ccnc2Cc2cccc(NC(=O)c3ccc4ccccc4n3)c2)n1,Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,d1dbbce74da59e91ebac3b63f5723f02,R6;R6;
*CNc1cccc(F)c1,*C(*)Nc1cccc(F)c1,CCOc1ccc(CNC(=O)COCc2nnc(C(=O)Nc3cccc(F)c3)s2)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*CCC1=CNC2=CC=C(C(=O)[O-])C=C12,*CCc1c[nH]c2ccc(C(=O)[O-])cc12,[NH3+]CCCc1c[nH]c2ccc(C(=O)[O-])cc12,Hydrophilic;R5_aro1_1;R6_aro1_0;,5.771,556e93ebb62636b794dba36934886569,R5;R6;
*CNc1cc(C(F)(F)F)cc(C(F)(F)F)c1,*C(*)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1[nH]c(=O)c2ccccc2c1[O-],Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cccc(CC)c1,*C(*)Nc1cccc(CC)c1,CCc1cccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2O)c1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CC(O)C1CCCCCCC1,*C(*)C(O)C1CCCCCCC1,O=C([O-])C1=CC[C@@H](NC(=O)[C@H](O)C2CCCCCCC2)C1,R78_aro0_0;,0.0,2d0bb0e75fd4bce2651f46f5b8fcacfe,R78;
*CNc1ccnc2cccnc12,*C(*)Nc1ccnc2cccnc12,Cn1ccc2cc(NC(=O)Nc3ccnc4cccnc34)ccc21,Hydrophilic;R6_aro1_1;R6_aro1_1;,3.0,15cb88217564e25d2f9271b0406d2e0a,R6;R6;
*NC(=O)C1=CC2=CC(F)=CC=C2N1,*NC(=O)c1cc2cc(F)ccc2[nH]1,Cc1nn(Cc2ccc(NC(=O)c3cc4cc(F)ccc4[nH]3)cc2)c(C)c1CC(=O)[O-],Hydrophilic;Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,5.153,45522b0a19ccc16863cf0269ea3c5c12,R5;R6;
*C=CC1=CC=CC=C1,*C=Cc1ccccc1,COc1ccc(NCC(=O)N/N=C/C=C\c2ccccc2)cc1,R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
*CNC(=O)C1=C(C)C2=C(C)C=CC(C)=C2N1,*CNC(=O)c1[nH]c2c(C)ccc(C)c2c1C,Cc1ccc(C)c2c(C)c(C(=O)NCC[S@](C)=O)[nH]c12,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,e5d89ff803e1b1d646270dc2cbcdbbfe,R5;R6;
*C(=O)C1=CC2=CC=CC=C2N1,*C(=O)c1cc2ccccc2[nH]1,O=C(c1cc2ccccc2[nH]1)c1cc2ccccc2o1,Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,d433330a82acd529602b8adb643ce42a,R5;R6;
*COC1Nc2ccccc2C1=NN,*C(*)OC1Nc2ccccc2C1=NN,N/N=C1/c2ccccc2N[C@H]1OC(=O)Nc1cccc(Cl)c1,Hydrophilic;Hydrophilic;Hydrophilic;R5_aro0_1;R6_aro1_0;,3.758,fca04768c4b8963ddbd9244e8277d46b,R5;R6;
*CNc1ccc(Br)cc1,*C(*)Nc1ccc(Br)cc1,O=C(Nc1ccc(Br)cc1)c1cc2ccc(Br)cc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNS(=O)(=O)C1=C(CO)C2=CC=CC=C2N1,*CNS(=O)(=O)c1[nH]c2ccccc2c1CO,O=S(=O)(NCc1ccc(-c2ccccc2)cc1)c1[nH]c2ccccc2c1CO,Hydrophilic;Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,4.276,33d30c68ad0873832995793d81f47c2e,R5;R6;
*CNCC1([NH3+])CCCC1,*C(*)NCC1([NH3+])CCCC1,COc1ccc2[nH]c(C(=O)NCC3([NH3+])CCCC3)cc2c1,Hydrophilic;Hydrophilic;R5_aro0_0;,3.855,39dfa3df685d70e365df4a28dbf90d6b,R5;
*CNc1cc(Cl)cc2cn[nH]c12,*C(*)Nc1cc(Cl)cc2cn[nH]c12,CCO[C@H]1C[C@H](CC(=O)Nc2cc(Cl)cc3cn[nH]c23)C1,Hydrophilic;R5_aro1_2;R6_aro1_0;,3.799,a3a5fa67589303e983c08323d247148e,R5;R6;
*CCC1(O)C(=O)Nc2c1ccc(C)c2C,*C(*)CC1(O)C(=O)Nc2c1ccc(C)c2C,Cc1ccc2c(c1C)NC(=O)[C@]2(O)CC(=O)c1ccc2c(c1)OCO2,Hydrophilic;R5_aro0_1;R6_aro1_0;,2.776,905dafe4c6c67d9de619a53310ede054,R5;R6;
*CNC(=O)C1=CC=C(C(F)(F)F)C(=O)N1,*CNC(=O)c1ccc(C(F)(F)F)c(=O)[nH]1,CCc1ccccc1CNC(=O)c1ccc(C(F)(F)F)c(=O)[nH]1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_1;,3.969,79f84ea767d7ca4e0b4d0c1eef9061e7,R6;
*CN=c1[nH]c2ccc(F)cc2[nH]1,*C(*)N=c1[nH]c2ccc(F)cc2[nH]1,O=C(/N=c1/[nH]c2ccc(F)cc2[nH]1)c1cccc([N+](=O)[O-])c1,Hydrophilic;Hydrophilic;R5_aro1_2;R6_aro1_0;,5.153,a7bf2f4ec83c4c16bcbaf48abaf26dcb,R5;R6;
*CNc1cc(C)nc2ccccc12,*C(*)Nc1cc(C)nc2ccccc12,Cc1cc(NC(=O)Nc2cccc3nsnc23)c2ccccc2n1,Hydrophilic;R6_aro1_0;R6_aro1_1;,3.0,3d74677f1ab17fc597bbdfd80893f970,R6;R6;
*CNC1=CC=CC(C(F)(F)F)=C1,*CNc1cccc(C(F)(F)F)c1,O=C(CNc1cccc(C(F)(F)F)c1)Nc1cccc(S(=O)(=O)N2CCCC2)c1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*C(O)C1=NC=C(C2=CC=C(F)C=C2)N1,*C(O)c1ncc(-c2ccc(F)cc2)[nH]1,Cc1cc(Cl)ccc1[C@H](O)c1ncc(-c2ccc(F)cc2)[nH]1,Hydrophilic;R5_aro1_2;R6_aro1_0;,7.276,a4bd484baa5fbd8055e7f6436db82d3d,R5;R6;
*CN=c1[nH]c2ccc(F)c(F)c2[nH]1,*C(*)N=c1[nH]c2ccc(F)c(F)c2[nH]1,O=C(/N=c1/[nH]c2ccc(F)c(F)c2[nH]1)c1cccc([N+](=O)[O-])c1,Hydrophilic;Hydrophilic;Hydrophilic;R5_aro1_2;R6_aro1_0;,5.153,c648d67a700b976a14f1baeffe6fecdd,R5;R6;
*CNC(=O)C1=NN(C)C(=O)C2=CC=CC=C12,*CNC(=O)c1nn(C)c(=O)c2ccccc12,Cn1nc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)c2ccccc2c1=O,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_2;,3.969,5f98ca82a918ba7e22f6bffe559547ad,R6;R6;
*CNc1cccc(Br)c1,*C(*)Nc1cccc(Br)c1,O=C(Nc1cccc(Br)c1)Nc1cc(Cl)ccc1C(=O)[O-],Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1ccc2c(c1)OCO2,*C(*)Nc1ccc2c(c1)OCO2,Cc1ccc(C(=O)[O-])cc1NC(=O)Nc1ccc2c(c1)OCO2,Hydrophilic;R5_aro0_2;R6_aro1_0;,5.153,bbb3ebd36ec1c4683fe1ce482f9c1540,R5;R6;
[*+]C1CCC(=O)NC1=O,[*+]C1CCC(=O)NC1=O,NC1=[N+]([C@@H]2CCC(=O)NC2=O)C(=O)c2ccccc21,Hydrophilic;Hydrophilic;R6_aro0_1;,3.0,a2348a899c02eebed53fcbef0a980369,R6;
*c1[nH]c(-c2cccc(F)c2)nc1SC,*CSc1nc(-c2cccc(F)c2)[nH]c1*,COCCCNC(=O)CSc1nc(-c2cccc(F)c2)[nH]c1-c1ccccc1,Hydrophilic;Hydrophilic;R5_aro1_2;R6_aro1_0;,6.333,1b574481e10dbaed35a0e91803556314,R5;R6;
*CSc1nc(-c2cccc(F)c2)[nH]c1C,*CSc1nc(-c2cccc(F)c2)[nH]c1*,COCCCNC(=O)CSc1nc(-c2cccc(F)c2)[nH]c1-c1ccccc1,Hydrophilic;Hydrophilic;R5_aro1_2;R6_aro1_0;,6.333,1b574481e10dbaed35a0e91803556314,R5;R6;
*COC1=CC=CC=C1C1=NNC=C1,*COc1ccccc1-c1cc[nH]n1,O=C(COc1ccccc1-c1cc[nH]n1)NC[C@@H](O)C[N@H+]1CCc2ccccc2C1,Hydrophilic;R5_aro1_2;R6_aro1_0;,4.276,a4bd484baa5fbd8055e7f6436db82d3d,R5;R6;
*CNc1cccc(CO)c1,*C(*)Nc1cccc(CO)c1,O=C(Nc1cccc(CO)c1)c1cc2cc(Cl)ccc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CCC1SC(=[N+]2CCCC2)NC1=O,*C(*)CC1SC(=[N+]2CCCC2)NC1=O,O=C(COC(=O)C[C@@H]1SC(=[N+]2CCCC2)NC1=O)Nc1c(F)c(F)c(F)c(F)c1F,Hydrophilic;R5_aro0_1;R5_aro0_2;,4.052,d6eed40f5a38eca1c99319dbc910a543,R5;R5;
*CCc1ccccn1,*C(*)Cc1ccccn1,N#Cc1ccc(NC[C@@H](CO)Cc2ccccn2)c(F)c1,R6_aro1_1;,0.0,803c06cff09f0fcee385b11b6745535b,R6;
*CCc1cccc(F)c1,*C(*)Cc1cccc(F)c1,COC(=O)[C@H](Cc1cccc(F)c1)NC(=O)S(=O)(=O)[O-],Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cc(Cl)ccc1C,*C(*)Nc1cc(Cl)ccc1C,Cc1ccc(Cl)cc1NC(=O)NCc1ccccc1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*NC1=NC=CC(C2=NN(C)C3=CC=CC=C23)=N1,*Nc1nccc(-c2nn(C)c3ccccc23)n1,Cn1nc(-c2ccnc(Nc3cccc(O)c3)n2)c2ccccc21,Hydrophilic;R5_aro1_2;R6_aro1_0;R6_aro1_2;,6.333,371e18cc9cec8bb643fbfc45a52aae3c,R5;R6;R6;
*CN=c1[nH]c2ccccc2[nH]1,*C(*)N=c1[nH]c2ccccc2[nH]1,CN1Cc2cc(C(=O)N=c3[nH]c4ccccc4[nH]3)ccc2N[C@@H](CC(=O)[O-])C1=O,Hydrophilic;R5_aro1_2;R6_aro1_0;,2.776,fd5d3d2c0833a8ac27259d12d9c82df1,R5;R6;
[*+]CCC1=CC=CC=C1,[*+]CCc1ccccc1,NC(=[NH2+])c1ccc(Oc2ccc(C[NH2+]CCc3ccccc3)cc2)nc1,R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
*NC(=O)C1(C)CC(C(F)(F)F)=NN1,*NC(=O)C1(C)CC(C(F)(F)F)=NN1,C[C@@]1(C(=O)Nc2ccc(C#N)cc2)CC(C(F)(F)F)=NN1,Hydrophilic;Hydrophilic;R5_aro0_2;,3.855,552e4da60a4b16d8a83af6144021b2ab,R5;
*CNc1cccc(OC)c1,*COc1cccc(NC(*)*)c1,CCc1c(C(=O)Nc2cccc(OCC(N)=O)c2)[nH]c(C)c1C(C)=O,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*COc1cccc(NC)c1,*COc1cccc(NC(*)*)c1,CCc1c(C(=O)Nc2cccc(OCC(N)=O)c2)[nH]c(C)c1C(C)=O,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*C=CC1=CC=CC=C1OC,*C=Cc1ccccc1OC,COc1ccccc1/C=C/C(=O)c1nc2ccccc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*NC(=O)C1=C(Br)C2=CC=CC=C2N1,*NC(=O)c1[nH]c2ccccc2c1Br,COc1cc(NC(=O)c2[nH]c3ccccc3c2Br)ccc1N1CCOC1=O,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,e5d89ff803e1b1d646270dc2cbcdbbfe,R5;R6;
*CNC(=O)c1cnc2ccccc2c1,*C(*)NC(=O)c1cnc2ccccc2c1,O=C(N[C@@H](Cc1ccccc1)C(=O)[O-])c1cnc2ccccc2c1,Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,d1dbbce74da59e91ebac3b63f5723f02,R6;R6;
*CNNc1ccccc1C,*C(*)NNc1ccccc1C,CCOC(=O)C(=O)NNc1ccccc1C,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*CNC(=O)C1=CC2=C(CCCC2)N1,*CNC(=O)c1cc2c([nH]1)CCCC2,C[NH+](C)[C@@H](CNC(=O)c1cc2c([nH]1)CCCC2)C1CC1,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro0_0;,3.758,b9e24d87e2ad27571dc09af86a67b406,R5;R6;
*CC(O)C1=CC=CC2=CC=CC=C12,*CC(O)c1cccc2ccccc12,O=C(NCc1ccc(F)cc1)C(=O)NC[C@H](O)c1cccc2ccccc12,R6_aro1_0;R6_aro1_0;,2.598,8255f2af631be1fd7234d818ac826fbd,R6;R6;
*CCC1[NH2+]CC(C)NC1=O,*C(*)CC1[NH2+]CC(C)NC1=O,CCOC(=O)C[C@@H]1[NH2+]C[C@@H](C)NC1=O,Hydrophilic;R6_aro0_2;,3.0,aae78cb0eadc943b0811020482a401f8,R6;
*C1=CC(O)=C(O)C(CC2=CC=CC=C2)=C1,*c1cc(O)c(O)c(Cc2ccccc2)c1,O=c1cc(-c2cc(O)c(O)c(Cc3ccccc3)c2)oc2cc(O)cc(O)c12,R6_aro1_0;R6_aro1_0;,5.196,fda6c6b64a1cf6f56b8cfb79c4476be1,R6;R6;
*CNc1ccc(F)c(C2CC2)c1,*C(*)Nc1ccc(F)c(C2CC2)c1,O=C(Nc1ccc(F)c(C2CC2)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F,Hydrophilic;Hydrophilic;R34_aro0_0;R6_aro1_0;,5.962,d775fbfa175092529028a1d4c474fbce,R34;R6;
*CS(=O)C1=CC=C(F)C=C1,*CS(=O)c1ccc(F)cc1,COc1ccc(NC(=O)C[S@@](=O)c2ccc(F)cc2)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CNC(=O)C1=CC=C(C(F)(F)F)C=C1,*CNC(=O)c1ccc(C(F)(F)F)cc1,O=C(NCCCCCCNC(=O)N1Cc2ccccc2C1)c1ccc(C(F)(F)F)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CNC(C)c1ccc(F)cc1F,*C(*)NC(C)c1ccc(F)cc1F,C[C@@H](NC(=O)CCC1=N/C(=C2/N=C[NH+]=N2)NO1)c1ccc(F)cc1F,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*S(=O)CC1=CC=CC=C1NC,*S(=O)Cc1ccccc1NC,CNc1ccccc1C[S@](=O)c1nc2ccccc2[nH]1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*CNC(C)C1CCCCC1,*C(*)NC(C)C1CCCCC1,C[C@H](NC(=O)c1ccc[nH]1)C1CCCCC1,Hydrophilic;R6_aro0_0;,3.969,b034e0bfbe3c630cbec1b5ee9fbe208c,R6;
*NC(=O)C1=NNC(C2=CC=CC=C2O)=C1,*NC(=O)c1cc(-c2ccccc2O)[nH]n1,Cc1ccnc([N-]S(=O)(=O)c2ccc(NC(=O)c3cc(-c4ccccc4O)[nH]n3)cc2)n1,Hydrophilic;Hydrophilic;R5_aro1_2;R6_aro1_0;,4.276,681ca2d39db93d6dceccd94322af229e,R5;R6;
*CCc1cccc2ccccc12,*C([*+])Cc1cccc2ccccc12,[NH3+][C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C\c2ccncc2)c1,R6_aro1_0;R6_aro1_0;,2.598,8255f2af631be1fd7234d818ac826fbd,R6;R6;
[*+]CCc1cccc2ccccc12,*C([*+])Cc1cccc2ccccc12,[NH3+][C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C\c2ccncc2)c1,R6_aro1_0;R6_aro1_0;,2.598,8255f2af631be1fd7234d818ac826fbd,R6;R6;
*C1=NNC(C2=CC=CS2)C1,*C1=NNC(c2cccs2)C1,Oc1ccc(Cl)cc1C1=NN[C@@H](c2cccs2)C1,R5_aro0_2;R5_aro1_1;,4.052,834884cf877b34f74274360281a296ab,R5;R5;
*CNC1=CC=CC=C1,*CNc1ccccc1,Cc1ccc(CCNc2ccccc2)c[n+]1[O-],Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*NC(=O)C1=C2CCCCC2=CS1,*NC(=O)c1scc2c1CCCC2,O=C(Nc1cnn2c1NCCC2)c1scc2c1CCCC2,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro0_0;,3.758,b9e24d87e2ad27571dc09af86a67b406,R5;R6;
*C1N=C(C2=CC=CC=C2C)NO1,*C1N=C(c2ccccc2C)NO1,COc1ccc([C@H]2N=C(c3ccccc3C)NO2)cc1O,R5_aro0_3;R6_aro1_0;,4.276,94d5a38a2dcbc57867702c0d5b3570d2,R5;R6;
*CNc1ccc(F)c(F)c1,*C(*)Nc1ccc(F)c(F)c1,CC(C)[C@H](NC(=O)c1cc(-c2ccc(NC(=O)Nc3ccc(F)c(F)c3)cc2)no1)C(=O)[O-],Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,62219924b2db24841fe2d77041e9c262,R6;
*S(=O)(=O)NC1=CC=CC2=C1NC=C2Cl,*S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12,[NH3+][S@](=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,Hydrophilic;Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,5.813,13a467692e435b1daf0e8cd1cb80a50e,R5;R6;
*COC(=O)c1cccc(NC)c1,*C(*)Nc1cccc(C(=O)OC(*)(*)*)c1,CC(C)(C)OC(=O)c1cccc(NC(=O)CCNS(=O)(=O)c2cccc(C(N)=[NH2+])c2)c1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
