smi,seed_smi,ori_smi,component,diameter,hash_distance,comp2
*CNC(C)c1ccc(F)cc1,*C(*)NC(c1ccc(F)cc1)C(*)*,C[C@@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(OCCOC(F)F)c2c(CO)n1)c1ccc(F)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CC(NC)c1ccc(F)cc1,*C(*)NC(c1ccc(F)cc1)C(*)*,C[C@@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(OCCOC(F)F)c2c(CO)n1)c1ccc(F)cc1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,9de6ed144f9ba9230d86416991ae4e07,R6;
*CNC(=O)c1ccc(F)cc1Cl,*C(*)NC(=O)c1ccc(F)cc1Cl,O=C(NC(=O)c1ccc(F)cc1Cl)Nc1ccc(O)c(O)c1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,62219924b2db24841fe2d77041e9c262,R6;
*CC(O)C1=CC=C(F)C=C1F,*CC(O)c1ccc(F)cc1F,Cn1c(NC[C@H](O)c2ccc(F)cc2F)c(C#N)c(=O)n(C)c1=O,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*CNNc1cccc(C)c1C,*C(*)NNc1cccc(C)c1C,CCOC(=O)C(=O)NNc1cccc(C)c1C,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*CNc1csc2c1CCCC2,*C(*)Nc1csc2c1CCCC2,Cc1cccc(C)c1NC(=O)Nc1csc2c1CCCC2,Hydrophilic;R5_aro1_1;R6_aro0_0;,2.776,4ef4bac0cb94546b75bba83778f36f4b,R5;R6;
*CNc1cc(Cl)ccc1F,*C(*)Nc1cc(Cl)ccc1F,CNc1nc(CNC(=O)Nc2cc(Cl)ccc2F)cs1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*NOCC1=CC=C(F)C=C1,*NOCc1ccc(F)cc1,O=C(NOCc1ccc(F)cc1)c1ccc[nH]1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;,5.408,a4774e62d3b57a66b907818fc21b3a24,R6;
*CNC(=O)c1cc(=O)c2cccc(F)c2[nH]1,*C(*)NC(=O)c1cc(=O)c2cccc(F)c2[nH]1,CC(C)[C@@H](NC(=O)c1cc(=O)c2cccc(F)c2[nH]1)C(N)=O,Hydrophilic;Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_1;,3.969,0242aeb136f6d93fea14834611e1fffa,R6;R6;
*CC(=O)c1cc2ccccc2[nH]1,*C(*)C(=O)c1cc2ccccc2[nH]1,O=C(C(=O)c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,Hydrophilic;R5_aro1_1;R6_aro1_0;,3.758,d433330a82acd529602b8adb643ce42a,R5;R6;
*S(=O)CC1=CC=CC=C1C,*S(=O)Cc1ccccc1C,Cc1ccccc1C[S@](=O)c1nc2ccccc2[nH]1,Hydrophilic;R6_aro1_0;,3.969,f7387117f881f446e79ec86f41a5cc08,R6;
*CCC1=NNC(C2=CC=CC=C2)=C1,*CCc1cc(-c2ccccc2)[nH]n1,CN(CCCc1cc(-c2ccccc2)[nH]n1)C(=O)[C@@H]1C[C@H]1C(=O)[O-],R5_aro1_2;R6_aro1_0;,4.276,a987486a3c4544dfa779e59a935ab255,R5;R6;
*CCC1=CC2=CC=C(C)C(C)=C2NC1=O,*CCc1cc2ccc(C)c(C)c2[nH]c1=O,Cc1ccc2cc(CCNC(=O)c3ccc4c(c3)OCO4)c(=O)[nH]c2c1C,Hydrophilic;R6_aro1_0;R6_aro1_1;,3.0,3d74677f1ab17fc597bbdfd80893f970,R6;R6;
*C=CC1=NNC(C2=CC=CC=C2)=C1,*C=Cc1cc(-c2ccccc2)[nH]n1,COc1cc(/C=C/c2cc(-c3ccccc3)[nH]n2)cc(OC)c1OC,R5_aro1_2;R6_aro1_0;,4.276,a987486a3c4544dfa779e59a935ab255,R5;R6;
*CNc1ccc(F)cc1Cl,*C(*)Nc1ccc(F)cc1Cl,O=C(Nc1cn[nH]c1)C(=O)Nc1ccc(F)cc1Cl,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*COCN1C=CC(=O)NC1=O,*COCn1ccc(=O)[nH]c1=O,O=c1ccn(COCCO)c(=O)[nH]1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_2;,3.969,dd8937bb5285141617aeae9ce07f32f7,R6;
*CNCC1CCCCC1,*C(*)NCC1CCCCC1,O=C(NCC1CCCCC1)c1cc2c[nH+]ccc2[nH]1,Hydrophilic;R6_aro0_0;,3.969,b034e0bfbe3c630cbec1b5ee9fbe208c,R6;
*CNc1ccccc1Cl,*C(*)Nc1ccccc1Cl,O=C(NCc1ccncc1)Nc1ccccc1Cl,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNCc1ccccc1Cl,*C(*)NCc1ccccc1Cl,O=C(NCc1ccccc1Cl)c1cc(C(=O)C2CC2)c[nH]1,Hydrophilic;R6_aro1_0;,3.969,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*CNc1cc(Cl)cc(C(F)(F)F)c1,*C(*)Nc1cc(Cl)cc(C(F)(F)F)c1,Cc1cc(NC(=O)Nc2cc(Cl)cc(C(F)(F)F)c2)ccc1-c1nc2n[nH]cc2[nH]1,Hydrophilic;R6_aro1_0;,3.0,f0c27f6b7b6576cbf2bc583fd1597cac,R6;
*C(=O)C1=NC2=CC=CC=C2N1,*C(=O)c1nc2ccccc2[nH]1,O=C(c1ccc(Oc2ncccc2C(=O)[O-])cc1)c1nc2ccccc2[nH]1,Hydrophilic;R5_aro1_2;R6_aro1_0;,3.758,861f7a962a013d535cf6f9b1f2103a3c,R5;R6;
*CC(O)C1=CC=C2C=CC=CC2=C1,*CC(O)c1ccc2ccccc2c1,CC(C)CNC(=O)CNC(=O)NC[C@@H](O)c1ccc2ccccc2c1,R6_aro1_0;R6_aro1_0;,2.598,8255f2af631be1fd7234d818ac826fbd,R6;R6;
*CC(O)C1=CC2=CC=CC=C2C2=CC=CC=C12,*CC(O)c1cc2ccccc2c2ccccc12,N#CCCN(CCC#N)C[C@H](O)c1cc2ccccc2c2ccccc12,R6_aro1_0;R6_aro1_0;R6_aro1_0;,2.598,2849a3ba2c48266abec713f3c97a190c,R6;R6;R6;
*C[NH2+]S(=O)C1=C(OC)C=CC2=CC=CC=C12,*C[NH2+]S(=O)c1c(OC)ccc2ccccc12,COc1ccc2ccccc2c1[S@@](=O)[NH2+]Cc1ccccc1,Hydrophilic;Hydrophilic;Hydrophilic;R6_aro1_0;R6_aro1_0;,3.969,989448b2dbcf2ba5c624bbdd609a6aa2,R6;R6;
*NN=CC1=CNC2=CC=CC=C12,*NN=Cc1c[nH]c2ccccc12,O=C(CCC(=O)N/N=C/c1c[nH]c2ccccc12)NCc1ccccc1,Hydrophilic;Hydrophilic;R5_aro1_1;R6_aro1_0;,5.191,4260d2d4ec6bf13c7af95203b88c187a,R5;R6;
*CNC(c1cnn(C)c1)C1CC(O)C1,*C(*)NC(c1cnn(C)c1)C1CC(O)C1,Cn1cc([C@@H](NC(=O)c2nc3ncccc3[nH]2)[C@H]2C[C@H](O)C2)cn1,Hydrophilic;R34_aro0_0;R5_aro1_2;,4.623,05934aae468354db59c4c6964c101cae,R34;R5;
[*+]CC(O)C1=CC=C(O)C(CO)=C1,[*+]CC(O)c1ccc(O)c(CO)c1,OCc1cc([C@@H](O)C[NH2+]CCCCCCOCCOCc2cccc(O)c2)ccc1O,R6_aro1_0;,0.0,73ed2c52819b12178180e74e5ccf386f,R6;
*CC(O)C1=CC=C(F)C(F)=C1,*CC(O)c1ccc(F)c(F)c1,COc1ccc(OC)c(NC(=O)NC[C@@H](O)c2ccc(F)c(F)c2)c1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.0,9de6ed144f9ba9230d86416991ae4e07,R6;
*NC(=O)C1=C(Cl)C(Cl)=C(C)N1,*NC(=O)c1[nH]c(C)c(Cl)c1Cl,Cc1[nH]c(C(=O)Nc2ccc(C(=O)N[C@@H](C)C(=O)[O-])cc2OCC[NH3+])c(Cl)c1Cl,Hydrophilic;Hydrophilic;R5_aro1_1;,3.758,07f819385f1fb991f3615ded19d99f49,R5;
*CNc1ccc(F)cn1,*C(*)Nc1ccc(F)cn1,C[C@@H](CO)NC(=O)Nc1ccc(F)cn1,Hydrophilic;Hydrophilic;R6_aro1_1;,3.0,1d75d886b57502d50e94e130b64b01c4,R6;
*S(=O)CC1=CC(C)=CC=C1N,*S(=O)Cc1cc(C)ccc1N,CCOc1ccc2nc([S@@](=O)Cc3cc(C)ccc3N)[nH]c2c1,Hydrophilic;Hydrophilic;R6_aro1_0;,3.969,84b6abffc38d02937536801a9cec433d,R6;
*CC(C)(OC)c1ccccc1,*CC(C*)(OC)c1ccccc1,CC[C@@](CNC(=O)C(=O)Nc1ccon1)(OC)c1ccccc1,Hydrophilic;R6_aro1_0;,4.5,58e6d2f467c8a2c33036f7370e3c6d1f,R6;
*COC1OC=C(CO)C2CC=C(CO)C12C,*C(*)OC1OC=C(CO)C2CC=C(CO)C12C,CC(C)CC(=O)O[C@@H]1OC=C(CO)[C@@H]2CC=C(CO)[C@@]12C,Hydrophilic;R5_aro0_0;R6_aro0_1;,3.799,889333532965bab84266103449ed58ba,R5;R6;
*CN(C)C1CCC2=CC=CC=C2NC1=O,*CN(C)C1CCc2ccccc2NC1=O,CN(CCn1cccn1)[C@H]1CCc2ccccc2NC1=O,Hydrophilic;Hydrophilic;R6_aro1_0;R78_aro0_1;,3.229,ca338a37bdecf5b3c79d752912eff670,R6;R78;
